label,g,t,latents
kingoftone,5,0,"[0.928083062171936, -0.9373819828033447, -0.7693787813186646, 0.8930457830429077, -0.9647969603538513, -0.43574845790863037, 0.892221212387085, 0.9389307498931885]"
fuzz,2,2,"[-0.8584906458854675, -0.8713788986206055, -0.4369947612285614, 0.5375409126281738, -0.9491664171218872, 0.6481088399887085, -0.9451128840446472, 0.872024416923523]"
fuzz,3,5,"[-0.7331126928329468, 0.04979720711708069, 0.20895206928253174, 0.7539693117141724, -0.8997722268104553, 0.9317770004272461, -0.8990366458892822, 0.8241339325904846]"
riot,4,1,"[0.757210373878479, 0.8922735452651978, 0.2602939307689667, 0.25162532925605774, 0.9479445219039917, 0.9741517305374146, 0.8122839331626892, 0.885159432888031]"
fuzz,0,0,"[0.7964758276939392, -0.8952739238739014, -0.9081307649612427, 0.9112209677696228, -0.9811233878135681, 0.2596873641014099, -0.9095900654792786, 0.9660584926605225]"
fuzz,1,4,"[-0.06445621699094772, 0.18836842477321625, -0.47396066784858704, 0.8448010087013245, -0.9279103875160217, 0.8424187898635864, -0.9415465593338013, 0.9203343987464905]"
kingoftone,5,2,"[0.9611849784851074, -0.8993501663208008, -0.9068503379821777, 0.7397592067718506, -0.9732220768928528, -0.8396148085594177, 0.969707727432251, 0.9075022339820862]"
fuzz,1,2,"[-0.1252545267343521, -0.5960278511047363, -0.7392810583114624, 0.8506572246551514, -0.9306787252426147, 0.6358818411827087, -0.9460728764533997, 0.9205557107925415]"
kingoftone,4,4,"[0.9913119077682495, -0.718596339225769, 0.9319619536399841, 0.7671183943748474, -0.9264582395553589, -0.8224619030952454, 0.9720261096954346, 0.901031494140625]"
riot,2,3,"[-0.9607089161872864, 0.897456705570221, 0.9052398800849915, -0.8487129807472229, 0.9717378616333008, 0.9865355491638184, 0.613381028175354, 0.07628507912158966]"
kingoftone,2,4,"[0.6779314279556274, 0.7525404691696167, 0.8790057897567749, 0.7826243042945862, -0.9605975151062012, 0.9207449555397034, 0.17610235512256622, 0.927046000957489]"
fuzz,1,0,"[0.19483129680156708, -0.9735366106033325, -0.9752024412155151, 0.5813409090042114, -0.9754897952079773, -0.5857305526733398, -0.9608288407325745, 0.905877947807312]"
fuzz,3,0,"[-0.9626287817955017, -0.9709693789482117, -0.9202125072479248, -0.9415766596794128, -0.964634120464325, -0.2749490439891815, -0.9143193364143372, 0.6008630990982056]"
fuzz,3,2,"[-0.9597891569137573, -0.899782657623291, -0.03920780122280121, -0.17642419040203094, -0.9014925956726074, 0.8511314392089844, -0.8736993074417114, 0.7897962331771851]"
fuzz,3,3,"[-0.9326925277709961, -0.7151616811752319, 0.19314134120941162, 0.2383696585893631, -0.9223543405532837, 0.9079123139381409, -0.8980649709701538, 0.7941857576370239]"
riot,4,4,"[0.8503016233444214, 0.9527546763420105, -0.16808238625526428, -0.7609896659851074, 0.9738051295280457, 0.9274490475654602, 0.9727879762649536, 0.5222688317298889]"
kingoftone,1,3,"[0.09640917181968689, 0.8587247133255005, 0.7934206128120422, 0.5782033205032349, -0.9588456153869629, 0.9356210231781006, -0.260624498128891, 0.8338897824287415]"
fuzz,5,2,"[-0.9434774518013, -0.9847118854522705, -0.6537299156188965, -0.9105262756347656, -0.9907090663909912, 0.4045557677745819, 0.9094281196594238, -0.338151216506958]"
kingoftone,4,3,"[0.9856470227241516, -0.8472910523414612, 0.6126614809036255, 0.8908784985542297, -0.994488000869751, -0.45140379667282104, 0.9445388317108154, 0.9615464806556702]"
riot,0,1,"[0.37383538484573364, 0.8239754438400269, -0.5606357455253601, 0.9070372581481934, 0.9279746413230896, 0.9825100898742676, -0.9619231224060059, 0.7802091836929321]"
kingoftone,4,2,"[0.9683247208595276, -0.7673791646957397, 0.7468687891960144, 0.9369205832481384, -0.9670214653015137, 0.5664695501327515, 0.7144495844841003, 0.9722569584846497]"
riot,5,0,"[0.8958448767662048, 0.8228909969329834, -0.5243897438049316, 0.6827875375747681, 0.9215019941329956, 0.949695885181427, 0.7421914935112, 0.9286825656890869]"
riot,2,0,"[-0.7305293083190918, 0.842649519443512, 0.8579540848731995, -0.5547640323638916, 0.9025908708572388, 0.9812425971031189, 0.6319026350975037, 0.6952923536300659]"
fuzz,5,1,"[-0.9211949110031128, -0.9834508299827576, -0.7647193074226379, -0.9649783372879028, -0.9922463893890381, -0.31438031792640686, 0.87462317943573, -0.6770099997520447]"
fuzz,3,4,"[-0.838814377784729, -0.33302804827690125, 0.22524239122867584, 0.6128579378128052, -0.901967465877533, 0.9233008623123169, -0.9016397595405579, 0.782302737236023]"
kingoftone,3,0,"[0.7098101377487183, 0.24937431514263153, 0.8010022640228271, 0.9072738289833069, -0.9727808237075806, 0.9407956600189209, -0.2583487927913666, 0.9527827501296997]"
fuzz,2,3,"[-0.7598085403442383, -0.6312078237533569, -0.2247568517923355, 0.7087327241897583, -0.9438678622245789, 0.8222535848617554, -0.9367719888687134, 0.8272844552993774]"
fuzz,4,0,"[-0.9941472411155701, -0.9818161725997925, 0.9603818655014038, -0.9978532195091248, -0.9620076417922974, -0.9498608112335205, 0.9876338243484497, -0.9427192211151123]"
riot,1,1,"[-0.9631571769714355, 0.9687127470970154, 0.4356524348258972, -0.5576369762420654, 0.9706798791885376, 0.9661687016487122, -0.8927846550941467, 0.3668745458126068]"
kingoftone,0,1,"[-0.2926527261734009, 0.8698762059211731, 0.7690421342849731, 0.14315280318260193, -0.8589468598365784, 0.9515951871871948, -0.25171974301338196, 0.823052704334259]"
fuzz,2,0,"[-0.8869321346282959, -0.9873769879341125, -0.9613626003265381, -0.5242913365364075, -0.9629291296005249, -0.7032878994941711, -0.9810166358947754, 0.9381268620491028]"
kingoftone,5,3,"[0.9761483669281006, -0.9295312166213989, -0.9517077803611755, 0.08820060640573502, -0.9824809432029724, -0.9704161286354065, 0.9881225228309631, 0.9463744759559631]"
fuzz,5,3,"[-0.958030104637146, -0.9820325374603271, -0.48333460092544556, -0.739295244216919, -0.9848480820655823, 0.7959383726119995, 0.7769380807876587, 0.2282806932926178]"
fuzz,5,4,"[-0.9462358951568604, -0.945059597492218, -0.08289811760187149, 0.10615608841180801, -0.9839221239089966, 0.8685232400894165, 0.36052170395851135, 0.6090534329414368]"
fuzz,1,1,"[-0.10732463747262955, -0.8465059995651245, -0.8662030100822449, 0.7919261455535889, -0.9641590714454651, 0.2625996768474579, -0.9565771222114563, 0.921608567237854]"
fuzz,1,3,"[-0.15783168375492096, -0.20733016729354858, -0.5955874919891357, 0.8598224520683289, -0.9420100450515747, 0.776813805103302, -0.9440978765487671, 0.9368911981582642]"
kingoftone,0,2,"[-0.2871652841567993, 0.8645659685134888, 0.8056989908218384, 0.19887374341487885, -0.9010707139968872, 0.9453564882278442, -0.3812010586261749, 0.7932080626487732]"
riot,2,1,"[-0.9117509722709656, 0.8178278207778931, 0.8224996328353882, -0.6622703075408936, 0.9144153594970703, 0.9542669057846069, 0.49607306718826294, 0.6407718658447266]"
fuzz,2,1,"[-0.8879157900810242, -0.9538713693618774, -0.8106958866119385, -0.01168606523424387, -0.961994469165802, 0.2967810034751892, -0.9492837190628052, 0.9133104085922241]"
riot,3,3,"[0.14774242043495178, 0.9446680545806885, 0.8623052835464478, -0.724642813205719, 0.9546773433685303, 0.9859965443611145, 0.9539895057678223, 0.46455344557762146]"
kingoftone,0,5,"[0.2780345678329468, 0.8701488375663757, 0.8129934072494507, 0.6005665063858032, -0.9358533620834351, 0.932990550994873, -0.13552533090114594, 0.8296432495117188]"
kingoftone,0,4,"[0.08416557312011719, 0.8724668622016907, 0.7999395132064819, 0.5214567184448242, -0.9436978101730347, 0.948663592338562, -0.31052902340888977, 0.8445327877998352]"
riot,4,3,"[0.8001198768615723, 0.9476751685142517, 0.27035483717918396, -0.40717339515686035, 0.9645075798034668, 0.9725844860076904, 0.9387605786323547, 0.7669612765312195]"
riot,3,4,"[0.3073936998844147, 0.9586177468299866, 0.8039010763168335, -0.8467029929161072, 0.9624085426330566, 0.948640763759613, 0.9769760966300964, -0.07754868268966675]"
kingoftone,3,5,"[0.9567641615867615, 0.2713033854961395, 0.9383708834648132, 0.685131311416626, -0.9845319390296936, 0.23292580246925354, 0.916435182094574, 0.9583534598350525]"
riot,3,5,"[0.47515833377838135, 0.9633592367172241, 0.381564199924469, -0.9390567541122437, 0.9861707091331482, 0.9256790280342102, 0.9884824752807617, -0.7566602230072021]"
fuzz,0,1,"[0.47019025683403015, -0.5949430465698242, -0.8115553855895996, 0.9058067202568054, -0.9681490659713745, 0.6070733666419983, -0.9336525797843933, 0.924079418182373]"
kingoftone,3,1,"[0.7649530172348022, 0.07617703080177307, 0.8161392211914062, 0.9180260300636292, -0.9764164090156555, 0.8330554962158203, -0.255026251077652, 0.9444126486778259]"
riot,0,3,"[0.5454568862915039, 0.9459564089775085, -0.5777304768562317, 0.9159197807312012, 0.9566285610198975, 0.9905990958213806, -0.9664276838302612, 0.1436617076396942]"
